Year	Interactions	Transitivity	CPL	Assortativity
2006.200082	101772.693225	5.99263242639e-05	-8.52651282912e-15	1.47940998745e-05
2006.3500835	91007.6121003	5.6058760649e-05	-8.52651282912e-15	1.35298628174e-05
2006.500085	70330.4721005	4.29733343505e-05	-8.52651282912e-15	1.03334718253e-05
2006.6500865	50204.7225005	3.03104815852e-05	-8.52651282912e-15	7.24868567001e-06
2006.800088	32585.2929004	1.93093871588e-05	-8.52651282912e-15	4.57843099469e-06
2006.9500895	18750.4065003	1.07628305073e-05	-8.52651282912e-15	2.51452364739e-06
2007.100091	9179.50410018	4.87166578539e-06	-8.52651282912e-15	1.11937232472e-06
2007.2500925	3842.28810008	1.6318950056e-06	-8.52651282912e-15	3.73326593435e-07
2007.400094	2026.8225	5.61254918735e-07	-8.52651282912e-15	1.41170225784e-07
2007.5500955	1728.7425	3.56017044735e-07	-8.52651282912e-15	1.06379097201e-07
2007.700097	1429.0425	2.0183325098e-07	-8.52651282912e-15	7.3727441037e-08
2007.8500985	1153.1025	1.14768514796e-07	-8.52651282912e-15	4.61146115072e-08
2008.0001	921.442499989	9.48516646046e-08	-8.52651282912e-15	2.53063109801e-08
2008.1501015	759.608099985	1.08941505014e-07	-8.52651282912e-15	1.3046360027e-08
2008.300103	675.64889999	1.26879244307e-07	-8.52651282912e-15	8.43948439744e-09
2008.4501045	673.964099997	1.10814812666e-07	-8.52651282912e-15	1.00048325097e-08
2008.600106	700.402499998	7.60105001302e-08	-8.52651282912e-15	1.35735341439e-08
2008.7501075	728.302499998	4.6072071104e-08	-8.52651282912e-15	1.76646842945e-08
2008.900109	755.432099992	2.33945999115e-08	-8.52651282912e-15	2.19509909527e-08
2009.0501105	768.996899992	1.08140533042e-08	-8.52651282912e-15	2.38923624912e-08
2009.200112	749.168099988	2.20069598211e-08	-8.52651282912e-15	2.07889472761e-08
2009.3501135	701.964899993	6.80508430093e-08	-8.52651282912e-15	1.54412226755e-08
2009.500115	633.060899985	1.5769612968e-07	-8.52651282912e-15	1.01577768488e-08
2009.6501165	560.002499992	2.87668641472e-07	-8.52651282912e-15	8.3764084724e-09
2009.800118	489.14009999	4.50663173765e-07	-8.52651282912e-15	1.06887306089e-08
2009.9501195	426.046499985	6.31775219882e-07	-8.52651282912e-15	1.6684658069e-08
2010.100121	648.716399962	2.43389644572e-06	-8.52651282912e-15	3.60164827132e-07
2010.2501225	1530.11902492	8.97105628506e-06	-8.52651282912e-15	1.99113696505e-06
2010.400124	3237.21562487	2.17897039464e-05	-8.52651282912e-15	5.48494190338e-06
2010.5501255	5804.66249984	4.12458718548e-05	-8.52651282912e-15	1.10321206441e-05
2010.700127	9108.85499982	6.67738960582e-05	-8.52651282912e-15	1.84913233616e-05
2010.8501285	12911.6531248	9.65559361647e-05	-8.52651282912e-15	2.73393744031e-05
2011.00013	16840.9631248	0.000127640154445	-8.52651282912e-15	3.66857875613e-05
2011.1501315	18224.7758999	0.000138800332917	-8.52651282912e-15	4.02470137819e-05
2011.300133	17153.4366	0.000130651916074	-8.52651282912e-15	3.80927641901e-05
2011.4501345	13716.1550251	0.000103803749182	-8.52651282912e-15	3.02924656791e-05
2011.600136	9640.58062513	7.20512389679e-05	-8.52651282912e-15	2.09875207676e-05
2011.7501375	6060.8306251	4.44490868306e-05	-8.52651282912e-15	1.2911662292e-05
2011.900139	3263.28502508	2.32054649408e-05	-8.52651282912e-15	6.71095893047e-06
2012.0501405	1382.30550004	9.25545414406e-06	-8.52651282912e-15	2.66266822948e-06
2012.200142	386.037400001	2.1554514705e-06	-8.52651282912e-15	6.29022727278e-07
2012.3501435	72.7835249722	1.16350893704e-07	-8.52651282912e-15	7.10916151933e-08
2012.500145	108.588524967	2.46003081823e-07	-8.52651282912e-15	1.62863837899e-07
2012.6501465	153.452499968	4.266811279e-07	-8.52651282912e-15	2.95152127343e-07
2012.800148	204.264599967	6.47619698636e-07	-8.52651282912e-15	4.60456914436e-07
2012.9501495	256.616624963	8.88862397327e-07	-8.52651282912e-15	6.43688387825e-07
2013.100151	281.36422497	1.03144671511e-06	-8.52651282912e-15	7.55752669174e-07
2013.2501525	268.772099966	1.02381439746e-06	-8.52651282912e-15	7.56163885435e-07
2013.400154	223.607999974	8.69235324441e-07	-8.52651282912e-15	6.44741177686e-07
2013.5501555	160.15559997	6.22575690162e-07	-8.52651282912e-15	4.61785401942e-07
2013.700157	102.849999976	3.99810619995e-07	-8.52651282912e-15	2.96553030868e-07
2013.8501585	56.9183999717	2.21259900747e-07	-8.52651282912e-15	1.64115936144e-07
2014.00016	24.974399972	9.70834258204e-08	-8.52651282912e-15	7.20100536145e-08
